Page No	Page Name	APIs	Notes 
0	Common	"GET /auth/me
POST /cart"	"/auth/me Will have

Auth Details
Addresses
Cart List & Count
Wishlist  & Count etc"
1	Home page	"GET /auth/me
GET /categories/menu
GET /banners
GET /search?q=...
GET /cart/count
GET /categories
GET /featuredProducts
GET /topSellingProducts
GET /sponsored/home
"	
2	Products page	"GET /products?category=performance-brakes
GET /products/sort-options
POST /cart
POST /inquiry
POST /wishlist/toggle"	
3	Product Details	"GET /products/:id
GET /delivery-estimate?productId=123&zipcode
GET /reviews?productId=123&page=1
GET /products/:id/recommendations"	
4	Cart Page	"GET /cart
PATCH /cart/items/:itemId
DELETE /cart/items/:itemId
POST /cart/save-for-later
POST /cart/apply-coupon
POST /checkout/session
GET /user/address
POST /user/address
PATCH /user/address"	
5	Checkout Page	"GET /payment-methods
POST /checkout
POST /reciever/contact
"	
6	Order page	"GET /orders
GET /orders/:orderId
POST /orders/:orderId/track
POST /orders/:orderId/cancel
POST /orders/:orderId/returns
GET /orders/:orderId/invoice"	
7	Wishlist Page	"GET /wishlist
POST /wishlist
PATCH /wishlist
DELETE /wishlist"	
8	Returns Page	GET /returns	
9	Warranty Claim Page	"GET /orders/:orderId
GET /warranty/:productId/eligibility?orderId
GET /warranty/reasons?claimType=manufacturer
POST /claims
POST /claims/:claimId/files
GET /claims/:claimId
POST /claims/:claimId/cancel"	
10	User Profile Page	"GET /auth/me 
PATCH /users/:userId/profile
DELETE /users/:userId/profile"	
11	User Authentication Page	"POST /auth/user/login
POST /auth/user/register
POST /auth/user/otp/email/send
POST /auth/user/otp/phone/send
POST /auth/user/otp/email/verify
POST /auth/user/otp/phone/verify"	
12	Seller Authentication Page	"POST /auth/seller/login
POST /auth/seller/register
POST /auth/seller/otp/email/send
POST /auth/serller/otp/phone/send
POST /auth/seller/otp/email/verify
POST /auth/seller/otp/phone/verify
POST /auth/seller/identity-verification
"	
13	Seller Dashboard Page	"GET /api/dashboard/summary?range=week
GET /api/dashboard/balance
GET /api/dashboard/inventory
GET /api/dashboard/feedback
GET /api/dashboard/account-health
GET /api/products
GET /api/customers/
GET /api/inventory/summary
GET /api/analytics/sales?"	
14	Add Product page	"GET /seller/catalog/categories
GET /seller/catalog/vehiclesuggestions
GET /seller/catalog/certifications
GET /seller/geo/countries
GET /seller/catalog/controlled-item-types
GET /seller/catalog/declaration"	
